Article,nc_f_m,nc_f_sd,hc_m,hc_sd,nc_n,hc_n
Baker 2001b,398,7,387,20,8,8
Hachul 2013,347.1,73,366.3,68.5,117,102
Plamberger 2021 ,445.47,55.94,431.79,70.68,16,19
