Article,nc_f_m,nc_f_sd,hc_m,hc_sd,nc_n,hc_n
Baker 2001a,14,7,11,7,9,10
Baker 2001b,11,3,19,11,8,8
Hachul 2013,15,19.3,12.3,15.4,117,102
Plamberger 2021 ,19.5,7.21,16.76,10.14,16,19
