Article,nc_f_m,nc_f_sd,hc_m,hc_sd,nc_n,hc_n
Baker 2001a,94,2,95,2,9,10
Baker 2001b,95,2,92,5,8,8
Hachul 2013,84.3,11.6,87.1,9.7,117,102
Plamberger 2021 ,95.29,2.78,92.65,8.41,16,19
