Article,nc_f_m,nc_f_sd,hc_m,hc_sd,nc_n,hc_n
Baker 2001a,69,14,62,15,9,10
Baker 2001b,70,12,62,23,8,8
Hachul 2013,93,42.8,99.4,48.8,117,102
