Article,nc_f_m,nc_f_sd,hc_m,hc_sd,nc_n,hc_n
Baker 2001a,445,21,452,9,9,10
Baker 2001b,435,11,449,17,8,8
Plamberger 2021 ,467.22,55.53,466.34,63.66,16,19
