Article,nc_f_m,nc_f_sd,hc_m,hc_sd,nc_n,hc_n
Baker 2001a,40,3,48,4,9,10
Baker 2001b,42,6,45,3,8,8
Hachul 2013,54.1,8.6,55.2,8.3,117,102
Plamberger 2021 ,38.51,8.35,42.13,6.76,16,19
