Article,nc_f_m,nc_f_sd,hc_m,hc_sd,nc_n,hc_n
Baker 2001a,22,2,21,3,9,10
Baker 2001b,22,3,21,3,8,8
Hachul 2013,19.8,6.4,19.4,6.7,117,102
Plamberger 2021 ,16.58,7.55,12.5,4.77,16,19
